1nstruct1v3On40p3m1p0s169,24,1
D0cum3ntPr0k0ph1j420,47,0
Ib1sC01nt469,51,2
420Z1llulRust1c,30,0
420D3l1c10usT33ny,16,0
L1f3Z3bu69,15,4
C4bb4g3Lych33420,70,4
P0w3rL3nk469,82,1
C0mp0s3dSucc3ssful69,87,3
Br4v3D3v1l69,50,3
Squ4shT3ns3420,57,1
St1ckM3nd3l69,27,0
420C4rb0nEv3l14,70,0
H4rd3nThul1um420,93,4
420R3v3r3dSm4ll,45,5
Playboyize,45,0
Gigastrength,63,0
Deadlyinx,23,1
Techpill,47,1
Methshot,86,2
Methnerd,54,3
TreeEater,32,0
PackManBrainlure,27,4
Carnalpleasure,45,3
Sharpcharm,41,2
Snarelure,12,1
Skullbone,15,1
Burnblaze,6,3
Emberburn,8,0
Emberfire,56,3
Evilember,4,3
Firespawn,34,1
Flameblow,87,3
SniperGod,94,2
TalkBomber,96,4
SniperWish,43,1
RavySnake,38,2
WebTool,74,0
TurtleCat,86,5
BlogWobbles,77,2
LuckyDusty,84,2
RumChicken,57,3
StonedTime,52,1
CouchChiller,35,1
VisualMaster,34,0
DeathDog,23,0
ZeroReborn,47,0
TechHater,97,0
eGremlin,56,1
BinaryMan,46,2
AwesomeTucker,75,3
FastChef,42,4
JunkTop,46,3
PurpleCharger,86,2
CodeBuns,89,2
BunnyJinx,99,2
GoogleCat,93,2
StrangeWizard,53,2
Fuzzy_Logic,24,1
New_Cliche,17,1
Ignoramus,28,0
Stupidasole,22,3
whereismyname,29,1
Nojokur,38,0
Illusionz,95,2
Spazyfool,38,1
Supergrass,63,4
Dreamworx,63,4
Fried_Sushi,58,3
Stark_Naked,72,0
Need_TLC,38,0
Raving_Cute,62,0
Nude_Bikergirl,81,0
Lunatick,61,1
GarbageCanLid,38,2
Crazy_Nice,92,2
Booteefool,61,3
Harmless_Venom,81,2
Lord_Tryzalot,12,4
Sir_Gallonhead,5,0
Boy_vs_Girl,62,2
MPmaster,47,1
King_Martha,13,3
Spamalot,78,1
Soft_member,13,3
girlDog,17,2
Evil_kitten,38,2
farquit,83,1
viagrandad,36,0
happy_sad,42,0
haveahappyday,28,5
SomethingNew,48,0
5mileys,21,1
cum2soon,47,2
takes2long,38,2
w8t4u,32,4
askme,29,1
Bidwell,64,2
massdebater,49,3
iluvmen,42,3
Inmate,48,3
idontknow,8,0
likme,1,0
420V3g3t4bl3N00b,78,3
69Zucch1n1Pr1ckly,65,3